P_NUMBER,TIMESTAMP,Water_Surface_Elevation,source
381639,2019-04-24 01:28:00,573.1700000000001,HAND MEASUREMENT
381639,2019-06-04 15:26:00,574.1800000000001,HAND MEASUREMENT
381639,2019-08-21 09:10:00,572.71,HAND MEASUREMENT
381639,2019-11-25 15:43:00,572.88,HAND MEASUREMENT
381640,2019-04-24 01:44:00,577.5699999999999,HAND MEASUREMENT
381640,2019-06-04 15:09:00,580.34,HAND MEASUREMENT
381640,2019-08-21 08:56:00,576.79,HAND MEASUREMENT
381640,2019-11-25 15:28:00,577.35,HAND MEASUREMENT
381641,2019-04-24 12:49:00,601.08,HAND MEASUREMENT
381641,2019-06-04 14:53:00,602.89,HAND MEASUREMENT
381641,2019-08-21 08:38:00,596.34,HAND MEASUREMENT
381641,2019-11-25 15:05:00,600.97,HAND MEASUREMENT
381642,2019-04-24 12:49:00,602.49,HAND MEASUREMENT
381642,2019-06-04 14:52:00,605.1800000000001,HAND MEASUREMENT
381642,2019-08-21 08:39:00,599.76,HAND MEASUREMENT
381642,2019-11-25 15:06:00,602.63,HAND MEASUREMENT
381643,2019-01-01 00:00:00,607.448687,TELEMETRY
381643,2019-01-01 01:00:00,607.446844,TELEMETRY
381643,2019-01-01 02:00:00,607.443289,TELEMETRY
381643,2019-01-01 03:00:00,607.437822,TELEMETRY
381643,2019-01-01 04:00:00,607.434595,TELEMETRY
381643,2019-01-01 05:00:00,607.430761,TELEMETRY
381643,2019-01-01 06:00:00,607.422182,TELEMETRY
381643,2019-01-01 07:00:00,607.410395,TELEMETRY
381643,2019-01-01 08:00:00,607.402899,TELEMETRY
381643,2019-01-01 09:00:00,607.398005,TELEMETRY
381643,2019-01-01 10:00:00,607.391943,TELEMETRY
381643,2019-01-01 11:00:00,607.392565,TELEMETRY
381643,2019-01-01 12:00:00,607.396277,TELEMETRY
381643,2019-01-01 13:00:00,607.401468,TELEMETRY
381643,2019-01-01 14:00:00,607.400984,TELEMETRY
381643,2019-01-01 15:00:00,607.399206,TELEMETRY
381643,2019-01-01 16:00:00,607.395331,TELEMETRY
381643,2019-01-01 17:00:00,607.393004,TELEMETRY
381643,2019-01-01 18:00:00,607.387812,TELEMETRY
381643,2019-01-01 19:00:00,607.383196,TELEMETRY
381643,2019-01-01 20:00:00,607.382898,TELEMETRY
381643,2019-01-01 21:00:00,607.382711,TELEMETRY
381643,2019-01-01 22:00:00,607.385645,TELEMETRY
381643,2019-01-01 23:00:00,607.390051,TELEMETRY
381643,2019-01-02 00:00:00,607.394457,TELEMETRY
381643,2019-01-02 01:00:00,607.400728,TELEMETRY
381643,2019-01-02 02:00:00,607.406199,TELEMETRY
381643,2019-01-02 03:00:00,607.412493,TELEMETRY
381643,2019-01-02 04:00:00,607.41886,TELEMETRY
381643,2019-01-02 05:00:00,607.423842,TELEMETRY
381643,2019-01-02 06:00:00,607.426428,TELEMETRY
381643,2019-01-02 07:00:00,607.425203,TELEMETRY
381643,2019-01-02 08:00:00,607.421789,TELEMETRY
381643,2019-01-02 09:00:00,607.423037,TELEMETRY
381643,2019-01-02 10:00:00,607.426798,TELEMETRY
381643,2019-01-02 11:00:00,607.435541,TELEMETRY
381643,2019-01-02 12:00:00,607.445711,TELEMETRY
381643,2019-01-02 13:00:00,607.455443,TELEMETRY
381643,2019-01-02 14:00:00,607.462755,TELEMETRY
381643,2019-01-02 15:00:00,607.465017,TELEMETRY
381643,2019-01-02 16:00:00,607.46472,TELEMETRY
381643,2019-01-02 17:00:00,607.463034,TELEMETRY
381643,2019-01-02 18:00:00,607.457777,TELEMETRY
381643,2019-01-02 19:00:00,607.446844,TELEMETRY
381643,2019-01-02 20:00:00,607.441881,TELEMETRY
381643,2019-01-02 21:00:00,607.441671,TELEMETRY
381643,2019-01-02 22:00:00,607.440748,TELEMETRY
381643,2019-01-02 23:00:00,607.442457,TELEMETRY
381643,2019-01-03 00:00:00,607.448481,TELEMETRY
381643,2019-01-03 01:00:00,607.452169,TELEMETRY
381643,2019-01-03 02:00:00,607.451063,TELEMETRY
381643,2019-01-03 03:00:00,607.458788,TELEMETRY
