P_NUMBER,TIMESTAMP,Water_Surface_Elevation,source
381639,4/24/2019 1:28,573.17,HAND MEASUREMENT
381640,4/24/2019 1:44,577.57,HAND MEASUREMENT
381641,4/24/2019 12:49,601.08,HAND MEASUREMENT
381642,4/24/2019 12:49,602.49,HAND MEASUREMENT
381643,4/24/2019 11:23,608.36,HAND MEASUREMENT
381644,4/24/2019 0:00,609.982323,TELEMETRY
381645,4/24/2019 6:49,626.54,HAND MEASUREMENT
381646,4/24/2019 6:49,631.24,HAND MEASUREMENT
381647,4/24/2019 7:04,636.23,HAND MEASUREMENT
381648,4/24/2019 7:04,640.44,HAND MEASUREMENT
381649,4/24/2019 11:45,606.44,HAND MEASUREMENT
381650,4/24/2019 11:45,605.33,HAND MEASUREMENT
381651,4/24/2019 12:01,605.39,HAND MEASUREMENT
381652,4/24/2019 12:01,604.12,HAND MEASUREMENT
381653,4/24/2019 7:20,637.94,HAND MEASUREMENT
381654,4/24/2019 7:20,647.12,HAND MEASUREMENT
381655,4/24/2019 7:35,662.7,HAND MEASUREMENT
381656,4/24/2019 7:35,670.99,HAND MEASUREMENT
381657,4/24/2019 8:06,676.43,HAND MEASUREMENT
381658,4/24/2019 8:06,697.37,HAND MEASUREMENT
381659,4/24/2019 7:51,655.32,HAND MEASUREMENT
381660,4/24/2019 7:51,674.91,HAND MEASUREMENT
381661,6/5/2019 9:50,651.4,HAND MEASUREMENT
381662,4/24/2019 11:05,613.61,HAND MEASUREMENT
381663,4/24/2019 11:05,628.49,HAND MEASUREMENT
381664,6/4/2019 14:07,619.4,HAND MEASUREMENT
381665,6/5/2019 9:15,631.08,HAND MEASUREMENT
381666,4/24/2019 10:30,603.37,HAND MEASUREMENT
381668,4/24/2019 10:49,608.59,HAND MEASUREMENT
381669,4/24/2019 10:49,617.33,HAND MEASUREMENT
381672,4/24/2019 8:27,617.82,HAND MEASUREMENT
381673,4/24/2019 10:11,590.45,HAND MEASUREMENT
381674,4/24/2019 8:46,651.3,HAND MEASUREMENT
381675,4/24/2019 9:54,560.7,HAND MEASUREMENT
381676,4/24/2019 9:46,539.53,HAND MEASUREMENT
381677,4/24/2019 9:26,489.85,HAND MEASUREMENT
381678,4/24/2019 9:13,446.59,HAND MEASUREMENT
