P_NUMBER,TIMESTAMP,Water_Surface_Elevation,source
381639,8/21/2019 9:10,572.71,HAND MEASUREMENT
381640,8/21/2019 8:56,576.79,HAND MEASUREMENT
381641,8/21/2019 8:38,596.34,HAND MEASUREMENT
381642,8/21/2019 8:39,599.76,HAND MEASUREMENT
381643,8/4/2019 19:00,581.35806,TELEMETRY
381644,9/12/2019 23:00,608.787614,TELEMETRY
381645,8/5/2019 6:00,612.10737,TELEMETRY
381646,9/12/2019 13:00,631.31141,TELEMETRY
381647,8/21/2019 10:00,632.07,HAND MEASUREMENT
381648,8/21/2019 10:01,639.98,HAND MEASUREMENT
381649,8/20/2019 13:05,588.88,HAND MEASUREMENT
381650,8/20/2019 13:06,604.75,HAND MEASUREMENT
381651,8/11/2019 9:00,586.72806,TELEMETRY
381652,9/15/2019 4:00,603.18089,TELEMETRY
381653,8/11/2019 0:00,616.52,TELEMETRY
381654,8/17/2019 22:00,646.51,TELEMETRY
381655,8/21/2019 10:16,657.12,HAND MEASUREMENT
381656,8/21/2019 10:17,671.31,HAND MEASUREMENT
381657,8/20/2019 16:40,666.32,HAND MEASUREMENT
381658,8/20/2019 16:40,696.55,HAND MEASUREMENT
381659,8/21/2019 10:20,648.56,HAND MEASUREMENT
381660,8/21/2019 10:21,673.59,HAND MEASUREMENT
381661,8/20/2019 16:30,643.51,HAND MEASUREMENT
381662,8/10/2019 23:00,571.5,TELEMETRY
381663,9/12/2019 15:00,627.86,TELEMETRY
381664,7/23/2019 9:29,603.58,HAND MEASUREMENT
381665,7/22/2019 11:33,620.55,HAND MEASUREMENT
381666,8/20/2019 12:14,587.2,HAND MEASUREMENT
381668,8/20/2019 13:22,584.87,HAND MEASUREMENT
381669,8/20/2019 13:20,617.32,HAND MEASUREMENT
381672,8/21/2019 11:21,614.73,HAND MEASUREMENT
381673,8/20/2019 11:55,585.99,HAND MEASUREMENT
381674,8/21/2019 11:40,649.44,HAND MEASUREMENT
381675,8/20/2019 11:35,558,HAND MEASUREMENT
381676,8/20/2019 11:10,538.96,HAND MEASUREMENT
381677,8/20/2019 10:10,489.26,HAND MEASUREMENT
381678,8/20/2019 9:57,443.86,HAND MEASUREMENT
