AREA_ACRE,Lam_X,Lam_Y,Yr
67.8376,3235014.769,3345007.47,2014
117.81,2447118.686,2615871.274,2012
384.379,2453406.228,2612114.225,2012
148.451,2463574.621,2615287.371,2012
126.844,2465735.528,2614611.155,2012
236.292,2464160.433,2599714.586,2012
149.878,2462920.164,2596745.007,2012
144.664,2456397.951,2599695.051,2012
86.4907,2453185.526,2594844.93,2012
85.6497,2455187.318,2594721.985,2012
127.857,2454858.592,2592449.32,2012
128.431,2457480.452,2588771.68,2012
131.89,2462337.4,2583386.252,2012
119.544,2465013.753,2583289.439,2012
140.039,2462256.113,2580833.065,2012
143.076,2459517.73,2580928.509,2012
143.082,2459405.24,2578231.319,2012
109.085,2453392.325,2576236.388,2012
141.678,2467250.27,2572664.536,2012
94.4452,2469997.482,2573861.034,2012
181.953,2461351.815,2570221.611,2012
73.1648,2464464.872,2570628.456,2012
143.633,2464295.978,2568803.364,2012
143.929,2469812.458,2569889.242,2012
120.466,2464153.797,2562282.089,2012
110.551,2464120.502,2559424.606,2012
20.7186,2487470.187,2468573.057,2012
20.7336,2486433.817,2468606.263,2012
69.4318,2489808.03,2467482.554,2012
263.11,2484690.714,2458372.116,2012
156.965,2488858.639,2457443.436,2012
166.205,3056149.408,1527921.697,2012
23.6851,3057660.379,1526118.636,2012
139.798,3059600.003,1526850.073,2012
162.533,3063884.5,1526926.811,2012
119.183,3063876.379,1523933.465,2012
23.7375,3053836.868,1518115.406,2012
22.8556,3055173.966,1518106.397,2012
117.071,3037774.692,1506084.328,2012
62.0323,3053480.986,1506254.19,2012
142.029,3084602.874,1481343.621,2012
132.24,3084651.26,1478663.792,2012
128.965,3081912.075,1478708.276,2012
97.8486,3050535.106,1484656.624,2012
96.39,3044131.493,1484591.531,2012
228.604,3040779.145,1480801.352,2012
119.386,3044080.52,1481789.554,2012
113.388,3044035.694,1476608.688,2012
79.1026,3186773.949,3361018.565,2012
27.9398,3157091.134,3349000.938,2012
26.856,3158414.259,3347990.28,2012
28.0439,3155730.952,3347936.983,2012
35.6296,3157147.352,3346599.439,2012
127.986,3155081.881,3345936.447,2012
131.702,3152452.178,3345889.507,2012
196.285,3152450.227,3348763.773,2012
94.555,3153858.981,3343427.978,2012
40.5336,3155685.115,3344019.767,2012
98.2491,3155274.219,3341938.019,2012
16.1984,3158626.866,3342839.978,2012
83.2979,3158032.169,3341372.255,2012
